external_id,name_en,name_es,primary_fine,secondary_count,flags,override
"Chair_Upper_Body_Stretch","Chair Upper Body Stretch","Estiramiento del tren superior en silla","delt_side",2,"ambiguous_default",""
"Chest_And_Front_Of_Shoulder_Stretch","Chest And Front Of Shoulder Stretch","Estiramiento de pecho y parte frontal del hombro","pec_lower",1,"ambiguous_default",""
"Chest_Push_from_3_point_stance","Chest Push from 3 point stance","Empuje de pecho desde posición de tres apoyos","pec_lower",3,"ambiguous_default",""
"Chest_Push_multiple_response","Chest Push (multiple response)","Empuje de pecho (respuesta múltiple)","pec_lower",3,"ambiguous_default",""
"Chest_Push_single_response","Chest Push (single response)","Empuje de pecho (respuesta única)","pec_lower",3,"ambiguous_default",""
"Chest_Push_with_Run_Release","Chest Push with Run Release","Empuje de pecho con salida en carrera","pec_lower",3,"ambiguous_default",""
"Chest_Stretch_on_Stability_Ball","Chest Stretch on Stability Ball","Estiramiento de pecho en fitball","pec_lower",0,"ambiguous_default",""
"Circus_Bell","Circus Bell","Campana de circo","delt_side",6,"ambiguous_default|big_compound","delt_front"
"Clean","Clean","Cargada","hamstrings",7,"big_compound","full_body"
"Clean_Deadlift","Clean Deadlift","Peso muerto de cargada","hamstrings",6,"big_compound",""
"Clean_Pull","Clean Pull","Tirón de cargada","quads",5,"big_compound","full_body"
"Clean_and_Jerk","Clean and Jerk","Cargada y envión","delt_side",7,"ambiguous_default|big_compound","full_body"
"Clean_and_Press","Clean and Press","Cargada y press","delt_front",10,"big_compound","full_body"
"Clean_from_Blocks","Clean from Blocks","Cargada desde bloques","quads",5,"big_compound","full_body"
"Clock_Push-Up","Clock Push-Up","Flexión del reloj","pec_lower",2,"ambiguous_default",""
"Close-Grip_Barbell_Bench_Press","Close-Grip Barbell Bench Press","Press de banca con barra agarre cerrado","tri_lateral",2,"ambiguous_default",""
"Close-Grip_Dumbbell_Press","Close-Grip Dumbbell Press","Press con mancuernas agarre cerrado","tri_lateral",2,"ambiguous_default",""
"Close-Grip_EZ-Bar_Press","Close-Grip EZ-Bar Press","Press con barra Z agarre cerrado","tri_lateral",2,"ambiguous_default",""
"Close-Grip_Push-Up_off_of_a_Dumbbell","Close-Grip Push-Up off of a Dumbbell","Flexión agarre cerrado sobre una mancuerna","tri_lateral",3,"ambiguous_default",""
"Cocoons","Cocoons","Cocoons","abs_upper",0,"ambiguous_default","abs_lower"
"Conans_Wheel","Conan's Wheel","Rueda de Conan","quads",7,"big_compound",""
"Cross-Body_Crunch","Cross-Body Crunch","Crunch cruzado","abs_upper",0,"ambiguous_default","obliques|abs_upper"
"Cross_Over_-_With_Bands","Cross Over - With Bands","Cruce con gomas","pec_lower",2,"ambiguous_default",""
"Crossover_Reverse_Lunge","Crossover Reverse Lunge","Zancada inversa cruzada","lower_back",5,"big_compound","quads|glutes"
"Crucifix","Crucifix","Crucifijo","delt_side",1,"ambiguous_default",""
"Crunch_-_Hands_Overhead","Crunch - Hands Overhead","Crunch con manos sobre la cabeza","abs_upper",0,"ambiguous_default",""
"Crunch_-_Legs_On_Exercise_Ball","Crunch - Legs On Exercise Ball","Crunch con piernas sobre fitball","abs_upper",0,"ambiguous_default",""
"Crunches","Crunches","Crunches","abs_upper",0,"ambiguous_default",""
"Dead_Bug","Dead Bug","Bicho muerto","abs_upper",0,"ambiguous_default",""
"Deadlift_with_Bands","Deadlift with Bands","Peso muerto con gomas","lower_back",6,"big_compound",""
"Deadlift_with_Chains","Deadlift with Chains","Peso muerto con cadenas","lower_back",6,"big_compound",""
"Decline_Crunch","Decline Crunch","Crunch declinado","abs_upper",0,"ambiguous_default",""
"Decline_Dumbbell_Triceps_Extension","Decline Dumbbell Triceps Extension","Extensión de tríceps declinada con mancuernas","tri_lateral",0,"ambiguous_default","tri_long"
"Decline_EZ_Bar_Triceps_Extension","Decline EZ Bar Triceps Extension","Extensión de tríceps declinada con barra Z","tri_lateral",0,"ambiguous_default","tri_long"
"Decline_Oblique_Crunch","Decline Oblique Crunch","Crunch oblicuo declinado","abs_upper",0,"ambiguous_default","obliques"
"Deficit_Deadlift","Deficit Deadlift","Peso muerto con déficit","lower_back",6,"big_compound",""
"Depth_Jump_Leap","Depth Jump Leap","Salto en profundidad","quads",5,"big_compound",""
"Dips_-_Chest_Version","Dips - Chest Version","Fondos para pecho","pec_lower",2,"ambiguous_default",""
"Double_Kettlebell_Alternating_Hang_Clean","Double Kettlebell Alternating Hang Clean","Cargada colgante alternada con doble kettlebell","hamstrings",7,"big_compound","full_body"
"Double_Kettlebell_Jerk","Double Kettlebell Jerk","Envión con doble kettlebell","delt_side",3,"ambiguous_default","delt_front"
"Double_Kettlebell_Snatch","Double Kettlebell Snatch","Arrancada con doble kettlebell","delt_side",3,"ambiguous_default","full_body"
"Double_Kettlebell_Windmill","Double Kettlebell Windmill","Molino con doble kettlebell","abs_upper",4,"ambiguous_default|big_compound","obliques"
"Double_Leg_Butt_Kick","Double Leg Butt Kick","Patada de talón a glúteo con ambas piernas","quads",5,"big_compound","hamstrings"
"Drop_Push","Drop Push","Flexión con caída","pec_lower",2,"ambiguous_default",""
"Dumbbell_Bench_Press","Dumbbell Bench Press","Press de banca con mancuernas","pec_lower",2,"ambiguous_default",""
"Dumbbell_Bench_Press_with_Neutral_Grip","Dumbbell Bench Press with Neutral Grip","Press de banca con mancuernas en agarre neutro","pec_lower",2,"ambiguous_default",""
"Dumbbell_Clean","Dumbbell Clean","Cargada con mancuernas","hamstrings",7,"big_compound","full_body"
"Dumbbell_Floor_Press","Dumbbell Floor Press","Press en el suelo con mancuernas","tri_lateral",2,"ambiguous_default",""
"Dumbbell_Flyes","Dumbbell Flyes","Aperturas con mancuernas","pec_lower",0,"ambiguous_default",""
"Dumbbell_Incline_Row","Dumbbell Incline Row","Remo inclinado con mancuernas","rhomboids",4,"big_compound",""
"Dumbbell_Incline_Shoulder_Raise","Dumbbell Incline Shoulder Raise","Elevación de hombros inclinada con mancuernas","delt_side",1,"ambiguous_default","delt_front"
"Dumbbell_One-Arm_Triceps_Extension","Dumbbell One-Arm Triceps Extension","Extensión de tríceps a una mano con mancuerna","tri_lateral",0,"ambiguous_default",""
"Dumbbell_One-Arm_Upright_Row","Dumbbell One-Arm Upright Row","Remo al mentón a una mano con mancuerna","delt_side",2,"ambiguous_default",""
"Dumbbell_Raise","Dumbbell Raise","Elevación con mancuernas","delt_side",1,"ambiguous_default",""
"Dumbbell_Scaption","Dumbbell Scaption","Elevación en plano escapular con mancuernas","delt_side",1,"ambiguous_default",""
"Dumbbell_Side_Bend","Dumbbell Side Bend","Flexión lateral con mancuerna","abs_upper",0,"ambiguous_default","obliques"
"Dumbbell_Squat","Dumbbell Squat","Sentadilla con mancuernas","quads",4,"big_compound",""
"Dumbbell_Squat_To_A_Bench","Dumbbell Squat To A Bench","Sentadilla al banco con mancuernas","quads",4,"big_compound",""
"Dumbbell_Tricep_Extension_-Pronated_Grip","Dumbbell Tricep Extension -Pronated Grip","Extensión de tríceps con mancuernas en agarre pronado","tri_lateral",0,"ambiguous_default",""
"Dynamic_Chest_Stretch","Dynamic Chest Stretch","Estiramiento dinámico de pecho","pec_lower",1,"ambiguous_default",""
"Elbow_Circles","Elbow Circles","Círculos de codos","delt_side",1,"ambiguous_default",""
"Elbow_to_Knee","Elbow to Knee","Codo a rodilla","abs_upper",0,"ambiguous_default","obliques"
"Elbows_Back","Elbows Back","Codos atrás","pec_lower",1,"ambiguous_default",""
"Exercise_Ball_Crunch","Exercise Ball Crunch","Crunch en fitball","abs_upper",0,"ambiguous_default",""
"Exercise_Ball_Pull-In","Exercise Ball Pull-In","Encogimiento de piernas en fitball","abs_upper",0,"ambiguous_default","abs_lower"
"Extended_Range_One-Arm_Kettlebell_Floor_Press","Extended Range One-Arm Kettlebell Floor Press","Press de suelo a una mano con kettlebell y rango extendido","pec_lower",2,"ambiguous_default",""
"External_Rotation","External Rotation","Rotación externa","delt_side",0,"ambiguous_default","delt_rear"
"External_Rotation_with_Band","External Rotation with Band","Rotación externa con goma","delt_side",0,"ambiguous_default","delt_rear"
"External_Rotation_with_Cable","External Rotation with Cable","Rotación externa en polea","delt_side",0,"ambiguous_default","delt_rear"
"Farmers_Walk","Farmer's Walk","Paseo del granjero","forearms",6,"big_compound",""
"Fast_Skipping","Fast Skipping","Skipping rápido","quads",5,"big_compound",""
"Finger_Curls","Finger Curls","Curl de dedos","forearms",0,"curl_no_biceps",""
"Flat_Bench_Cable_Flyes","Flat Bench Cable Flyes","Aperturas en polea en banco plano","pec_lower",0,"ambiguous_default",""
"Flat_Bench_Leg_Pull-In","Flat Bench Leg Pull-In","Encogimiento de piernas en banco plano","abs_upper",0,"ambiguous_default","abs_lower"
"Floor_Press","Floor Press","Press de suelo","tri_lateral",2,"ambiguous_default",""
"Floor_Press_with_Chains","Floor Press with Chains","Press de suelo con cadenas","tri_lateral",2,"ambiguous_default",""
"Forward_Drag_with_Press","Forward Drag with Press","Arrastre frontal con press","pec_lower",6,"ambiguous_default|big_compound",""
"Frankenstein_Squat","Frankenstein Squat","Sentadilla Frankenstein","quads",4,"big_compound",""
"Frog_Sit-Ups","Frog Sit-Ups","Abdominales de rana","abs_upper",0,"ambiguous_default",""
"Front_Box_Jump","Front Box Jump","Salto frontal al cajón","hamstrings",5,"big_compound","quads"
"Front_Cable_Raise","Front Cable Raise","Elevación frontal en polea","delt_side",0,"ambiguous_default","delt_front"
"Front_Cone_Hops_or_hurdle_hops","Front Cone Hops (or hurdle hops)","Saltos frontales sobre conos (o vallas)","quads",5,"big_compound",""
"Front_Dumbbell_Raise","Front Dumbbell Raise","Elevación frontal con mancuernas","delt_side",0,"ambiguous_default","delt_front"
"Front_Incline_Dumbbell_Raise","Front Incline Dumbbell Raise","Elevación frontal inclinada con mancuernas","delt_side",0,"ambiguous_default","delt_front"
"Front_Plate_Raise","Front Plate Raise","Elevación frontal con disco","delt_side",0,"ambiguous_default","delt_front"
"Front_Raise_And_Pullover","Front Raise And Pullover","Elevación frontal y pullover","pec_lower",3,"ambiguous_default",""
"Front_Two-Dumbbell_Raise","Front Two-Dumbbell Raise","Elevación frontal con dos mancuernas","delt_side",0,"ambiguous_default","delt_front"
"Goblet_Squat","Goblet Squat","Sentadilla goblet","quads",4,"big_compound",""
"Gorilla_Chin_Crunch","Gorilla Chin/Crunch","Dominada gorila con crunch","abs_upper",2,"ambiguous_default",""
"Handstand_Push-Ups","Handstand Push-Ups","Flexiones en pino","delt_side",1,"ambiguous_default","delt_front"
"Hang_Clean","Hang Clean","Cargada colgante","quads",7,"big_compound","full_body"
"Hang_Clean_-_Below_the_Knees","Hang Clean - Below the Knees","Cargada colgante por debajo de las rodillas","quads",7,"big_compound","full_body"
"Hang_Snatch","Hang Snatch","Arrancada colgante","hamstrings",8,"big_compound","full_body"
"Hang_Snatch_-_Below_Knees","Hang Snatch - Below Knees","Arrancada colgante por debajo de las rodillas","hamstrings",8,"big_compound","full_body"
"Heaving_Snatch_Balance","Heaving Snatch Balance","Snatch balance con impulso","quads",6,"big_compound",""
"Heavy_Bag_Thrust","Heavy Bag Thrust","Empuje de saco pesado","pec_lower",3,"ambiguous_default",""
"Hurdle_Hops","Hurdle Hops","Saltos de vallas","hamstrings",5,"big_compound","glutes|quads"
"Incline_Barbell_Triceps_Extension","Incline Barbell Triceps Extension","Extensión de tríceps inclinado con barra","tri_lateral",1,"ambiguous_default","tri_long"
"Incline_Push-Up_Close-Grip","Incline Push-Up Close-Grip","Flexión inclinada con agarre cerrado","tri_lateral",2,"ambiguous_default",""
"Internal_Rotation_with_Band","Internal Rotation with Band","Rotación interna con goma","delt_side",0,"ambiguous_default","delt_front"
"Iron_Cross","Iron Cross","Cruz de hierro","delt_side",6,"ambiguous_default|big_compound",""
"Isometric_Chest_Squeezes","Isometric Chest Squeezes","Contracciones isométricas de pecho","pec_lower",2,"ambiguous_default",""
"Isometric_Wipers","Isometric Wipers","Limpiaparabrisas isométricos","pec_lower",3,"ambiguous_default","obliques"
"JM_Press","JM Press","Press JM","tri_lateral",2,"ambiguous_default",""
"Jackknife_Sit-Up","Jackknife Sit-Up","Abdominal en navaja","abs_upper",0,"ambiguous_default",""
"Janda_Sit-Up","Janda Sit-Up","Abdominal Janda","abs_upper",0,"ambiguous_default",""
"Jefferson_Squats","Jefferson Squats","Sentadillas Jefferson","quads",5,"big_compound",""
"Jerk_Balance","Jerk Balance","Equilibrio de envión","delt_side",4,"ambiguous_default|big_compound","delt_front"
"Keg_Load","Keg Load","Carga de barril","lower_back",10,"big_compound",""
"Kettlebell_Dead_Clean","Kettlebell Dead Clean","Cargada muerta con kettlebell","hamstrings",5,"big_compound",""
"Kettlebell_Figure_8","Kettlebell Figure 8","Ocho con kettlebell","abs_upper",2,"ambiguous_default","obliques"
"Kettlebell_Hang_Clean","Kettlebell Hang Clean","Cargada colgante con kettlebell","hamstrings",5,"big_compound",""
"Kettlebell_Pass_Between_The_Legs","Kettlebell Pass Between The Legs","Pase entre las piernas con kettlebell","abs_upper",3,"ambiguous_default","obliques"
"Kettlebell_Pirate_Ships","Kettlebell Pirate Ships","Barcos pirata con kettlebell","delt_side",1,"ambiguous_default","obliques"
"Kettlebell_Pistol_Squat","Kettlebell Pistol Squat","Sentadilla pistol con kettlebell","quads",4,"big_compound",""
"Kettlebell_Sumo_High_Pull","Kettlebell Sumo High Pull","Tirón alto sumo con kettlebell","trap",5,"big_compound",""
"Kettlebell_Thruster","Kettlebell Thruster","Thruster con kettlebell","delt_side",2,"ambiguous_default","delt_front"
"Kettlebell_Turkish_Get-Up_Lunge_style","Kettlebell Turkish Get-Up (Lunge style)","Levantada turca con kettlebell (estilo zancada)","delt_side",4,"ambiguous_default|big_compound","delt_front"
"Kettlebell_Turkish_Get-Up_Squat_style","Kettlebell Turkish Get-Up (Squat style)","Levantada turca con kettlebell (estilo sentadilla)","delt_side",5,"ambiguous_default|big_compound","delt_front"
"Kettlebell_Windmill","Kettlebell Windmill","Molino con kettlebell","abs_upper",4,"ambiguous_default|big_compound","obliques"
"Kipping_Muscle_Up","Kipping Muscle Up","Muscle up con kipping","lat",7,"big_compound",""
"Knee_Hip_Raise_On_Parallel_Bars","Knee/Hip Raise On Parallel Bars","Elevación de rodillas/cadera en barras paralelas","abs_upper",0,"ambiguous_default","abs_lower"
"Knee_Tuck_Jump","Knee Tuck Jump","Salto con rodillas al pecho","hamstrings",5,"big_compound","quads"
"Kneeling_Arm_Drill","Kneeling Arm Drill","Ejercicio de brazos arrodillado","delt_side",1,"ambiguous_default","delt_front"
"Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists","Kneeling Cable Crunch With Alternating Oblique Twists","Crunch en polea arrodillado con giros oblicuos alternados","abs_upper",0,"ambiguous_default","obliques"
"Kneeling_Cable_Triceps_Extension","Kneeling Cable Triceps Extension","Extensión de tríceps en polea arrodillado","tri_lateral",0,"ambiguous_default",""
"Landmine_180s","Landmine 180's","Landmine 180º","abs_upper",3,"ambiguous_default","obliques"
"Landmine_Linear_Jammer","Landmine Linear Jammer","Jammer lineal en landmine","delt_side",6,"ambiguous_default|big_compound","delt_front"
"Lateral_Bound","Lateral Bound","Salto lateral","adductors",5,"big_compound",""
"Lateral_Box_Jump","Lateral Box Jump","Salto lateral al cajón","adductors",5,"big_compound",""
"Lateral_Cone_Hops","Lateral Cone Hops","Saltos laterales sobre conos","adductors",5,"big_compound",""
"Leg-Over_Floor_Press","Leg-Over Floor Press","Press en el suelo con pierna cruzada","pec_lower",2,"ambiguous_default",""
"Leg_Pull-In","Leg Pull-In","Encogimiento de piernas","abs_upper",0,"ambiguous_default","abs_lower"
"Leverage_Chest_Press","Leverage Chest Press","Press de pecho en máquina","pec_lower",2,"ambiguous_default",""
"Log_Lift","Log Lift","Levantamiento de tronco (log lift)","delt_side",9,"ambiguous_default|big_compound","delt_front"
"Low_Cable_Crossover","Low Cable Crossover","Cruce de poleas bajas","pec_lower",1,"ambiguous_default",""
"Low_Cable_Triceps_Extension","Low Cable Triceps Extension","Extensión de tríceps en polea baja","tri_lateral",0,"ambiguous_default",""
"Low_Pulley_Row_To_Neck","Low Pulley Row To Neck","Remo en polea baja al cuello","delt_side",3,"ambiguous_default","delt_rear"
"Lower_Back_Curl","Lower Back Curl","Extensión lumbar","abs_upper",0,"ambiguous_default|curl_no_biceps","lower_back"
"Lying_Leg_Curls","Lying Leg Curls","Curl femoral tumbado","hamstrings",0,"curl_no_biceps",""
"Machine_Bench_Press","Machine Bench Press","Press de banca en máquina","pec_lower",2,"ambiguous_default",""
"Machine_Triceps_Extension","Machine Triceps Extension","Extensión de tríceps en máquina","tri_lateral",0,"ambiguous_default",""
"Medicine_Ball_Chest_Pass","Medicine Ball Chest Pass","Pase de pecho con balón medicinal","pec_lower",2,"ambiguous_default",""
"Medicine_Ball_Full_Twist","Medicine Ball Full Twist","Giro completo con balón medicinal","abs_upper",1,"ambiguous_default","obliques"
"Medicine_Ball_Scoop_Throw","Medicine Ball Scoop Throw","Lanzamiento de cuchara con balón medicinal","delt_side",3,"ambiguous_default","full_body"
"Muscle_Snatch","Muscle Snatch","Arrancada de fuerza","hamstrings",5,"big_compound","full_body"
"Muscle_Up","Muscle Up","Muscle-up","lat",7,"big_compound",""
"Narrow_Stance_Squats","Narrow Stance Squats","Sentadilla con postura estrecha","quads",4,"big_compound",""
"Neck_Press","Neck Press","Press al cuello","pec_lower",2,"ambiguous_default",""
"Oblique_Crunches","Oblique Crunches","Crunch oblicuo","abs_upper",0,"ambiguous_default","obliques"
"Oblique_Crunches_-_On_The_Floor","Oblique Crunches - On The Floor","Crunch oblicuo en el suelo","abs_upper",0,"ambiguous_default","obliques"
"One-Arm_Flat_Bench_Dumbbell_Flye","One-Arm Flat Bench Dumbbell Flye","Apertura con mancuerna a una mano en banco plano","pec_lower",0,"ambiguous_default",""
"One-Arm_High-Pulley_Cable_Side_Bends","One-Arm High-Pulley Cable Side Bends","Flexión lateral a una mano en polea alta","abs_upper",0,"ambiguous_default","obliques"
"One-Arm_Kettlebell_Clean","One-Arm Kettlebell Clean","Cargada con kettlebell a una mano","hamstrings",4,"big_compound",""
"One-Arm_Kettlebell_Clean_and_Jerk","One-Arm Kettlebell Clean and Jerk","Cargada y envión con kettlebell a una mano","delt_side",0,"ambiguous_default","full_body"
"One-Arm_Kettlebell_Floor_Press","One-Arm Kettlebell Floor Press","Press en el suelo con kettlebell a una mano","pec_lower",1,"ambiguous_default",""
"One-Arm_Kettlebell_Jerk","One-Arm Kettlebell Jerk","Envión con kettlebell a una mano","delt_side",3,"ambiguous_default","full_body"
"One-Arm_Kettlebell_Snatch","One-Arm Kettlebell Snatch","Arrancada con kettlebell a una mano","delt_side",6,"ambiguous_default|big_compound","full_body"
"One-Arm_Kettlebell_Split_Jerk","One-Arm Kettlebell Split Jerk","Envión en tijera con kettlebell a una mano","delt_side",4,"ambiguous_default|big_compound","full_body"
"One-Arm_Kettlebell_Split_Snatch","One-Arm Kettlebell Split Snatch","Arrancada en tijera con kettlebell a una mano","delt_side",2,"ambiguous_default","full_body"
"One-Arm_Kettlebell_Swings","One-Arm Kettlebell Swings","Balanceo con kettlebell a una mano","hamstrings",4,"big_compound",""
"One-Arm_Medicine_Ball_Slam","One-Arm Medicine Ball Slam","Golpeo con balón medicinal a una mano","abs_upper",2,"ambiguous_default","obliques"
"One-Arm_Open_Palm_Kettlebell_Clean","One-Arm Open Palm Kettlebell Clean","Cargada con kettlebell de palma abierta a una mano","hamstrings",5,"big_compound",""
